"city","population","area","country"
"Giza",4432915,98,"Egypt"
"Manila",1846513,43,"Philippines"
"Croix-des-Bouquets",231077,5,"Haiti"
"Mandaluyong",425758,11,"Philippines"
"Malé",211908,6,"Maldives"
"Dhaka",10295786,305,"Bangladesh"
"Bnei Brak",237471,7,"Israel"
"Caloocan",1661584,53,"Philippines"
"Kolkata",6200000,206,"India"
"Makati",629616,22,"Philippines"
"Port-au-Prince",988438,25,"Haiti"
"Levallois-Perret",64379,2,"France"
"Guédiawaye",373638,14,"Senegal"
"Montrouge",54260,2,"France"
"Bogotá",8034649,307,"Colombia"
"Kathmandu",862400,49,"Nepal"
"Vincennes",49891,2,"France"
"Le Pré-Saint-Gervais",17950,1,"France"
"Pasig",803159,31,"Philippines"
"Saint-Mandé",22619,1,"France"
"Saint-Josse-ten-Noode",27548,1,"Belgium"
"Guttenberg",12017,1,"United States"
"Malabon",380522,16,"Philippines"
"Pasay",440656,19,"Philippines"
"Neapoli, Thessaloniki",25822,1,"Greece"
"Damascus",1711000,77,"Syria"
"San Juan, Metro Manila",126347,6,"Philippines"
"Navotas",247543,12,"Philippines"
"Asmara",963000,45,"Eritrea"
"Mislata",43756,2,"Spain"
"Macau[note 1]",681293,33,"China"
"Kallithea",97616,5,"Greece"
"Nea Smyrni",72853,4,"Greece"
"Paris",2187526,105,"France"
"Union City",68589,3,"United States"
"Mumbai",12442373,603,"India"
"Colombo",752993,37,"Sri Lanka"
"L'Hospitalet de Llobregat",252171,12,"Spain"
"West New York",52912,3,"United States"
"Marikina",456059,23,"Philippines"
"Saint-Gilles",50002,3,"Belgium"
"Clichy",61070,3,"France"
"Kotsiubynske",17249,1,"Ukraine"
"Courbevoie",81719,4,"France"
"Boulogne-Billancourt",120071,6,"France"
"Giv'atayim",62242,3,"Israel"
"Las Piñas",606293,32,"Philippines"
"Koekelberg",21990,1,"Belgium"
"General Mariano Alvarez",172433,9,"Philippines"
"Monaco",38367,2,"Monaco"
"Les Lilas",23045,1,"France"
"Hoboken",60419,3,"United States"
"Pikine",758554,42,"Senegal"
"Quezon City",2960048,166,"Philippines"
"Modi'in Illit",86158,5,"Israel"
"Vanves",27729,2,"France"
"Asnières-sur-Seine",85191,5,"France"
"Ciudad Nezahualcóyotl",1110565,63,"Mexico"
"Sliema",22591,1,"Malta"
"Howrah",1077075,63,"India"
"Santa Coloma de Gramenet",118821,7,"Spain"
"Chittagong",2582401,155,"Bangladesh"
"Molenbeek-Saint-Jean",97462,6,"Belgium"
"Freetown",1347559,81,"Sierra Leone"
"Keur Massar",759849,46,"Senegal"
"Seoul",9962393,605,"South Korea"
"Charenton-le-Pont",30374,2,"France"
"La Garenne-Colombes",29169,2,"France"
"Schaerbeek",133309,8,"Belgium"
"Neuilly-sur-Seine",60361,4,"France"
"Barcelona",1636732,101,"Spain"
"Issy-les-Moulineaux",68451,4,"France"
"Jakarta",10562088,662,"Indonesia"
"Bat-Yam",129584,8,"Israel"
"Gentilly",18605,1,"France"
"Cairo",9539673,606,"Egypt"
"Buenos Aires",3120612,203,"Argentina"
"Bandung",2510103,167,"Indonesia"
"Rosario, Cavite",110807,8,"Philippines"
"Mandaue",364116,25,"Philippines"
"Warabi",73777,5,"Japan"
"Bacoor",664625,46,"Philippines"
"El'ad",50289,4,"Israel"
"Beitar Illit",67618,5,"Israel"
"Senglea",2820,0,"Malta"
"Cimahi",568400,40,"Indonesia"
"San Pedro, Laguna",326001,24,"Philippines"
"Lagos",15388000,1171,"Nigeria"
"Gaza City",590481,45,"Palestine"
"Kiryat Motzkin",49400,4,"Israel"
"Geneva",201818,16,"Switzerland"
"Portici",53801,5,"Italy"
"New York",8804199,778,"United States"
"Karachi",20382881,2147,"Pakistan"
"La Plata",193144,27,"Argentina"
